Province/State,Country/Region,Confirmed,Deaths,Recovered,Last_Update,Daily_death,Daily_case
,Turkey,1,0,0,3/11/2020,0,0
,Turkey,1,0,0,3/12/2020,0,0
,Turkey,5,0,0,3/13/2020,0,4
,Turkey,5,0,0,3/14/2020,0,0
,Turkey,18,0,0,3/15/2020,0,13
,Turkey,47,0,0,3/16/2020,0,29
,Turkey,98,1,0,3/17/2020,1,51
,Turkey,191,2,0,3/18/2020,1,93
,Turkey,359,4,0,3/19/2020,2,168
,Turkey,670,9,0,3/20/2020,5,311
,Turkey,947,21,0,3/21/2020,12,277
,Turkey,1236,30,0,3/22/2020,9,289
,Turkey,1529,37,0,3/23/2020,7,293
,Turkey,1872,44,0,3/24/2020,7,343
,Turkey,2433,59,26,3/25/2020,15,561
,Turkey,3629,75,26,3/26/2020,16,1196
,Turkey,5698,92,42,3/27/2020,17,2069
,Turkey,7402,108,70,3/28/2020,16,1704
,Turkey,9217,131,105,3/29/2020,23,1815
,Turkey,10827,168,162,3/30/2020,37,1610
,Turkey,13531,214,243,3/31/2020,46,2704
,Turkey,15679,277,333,4/1/2020,63,2148
,Turkey,18135,356,415,4/2/2020,79,2456
,Turkey,20921,425,484,4/3/2020,69,2786
,Turkey,23934,501,786,4/4/2020,76,3013
,Turkey,27069,574,1042,4/5/2020,73,3135
,Turkey,30217,649,1326,4/6/2020,75,3148
,Turkey,34109,725,1582,4/7/2020,76,3892
,Turkey,38226,812,1846,4/8/2020,87,4117
,Turkey,42282,908,2142,4/9/2020,96,4056
,Turkey,47029,1006,2423,4/10/2020,98,4747
,Turkey,52167,1101,2965,4/11/2020,95,5138
,Turkey,56956,1198,3446,4/12/2020,97,4789
,Turkey,61049,1296,3957,4/13/2020,98,4093
,Turkey,65111,1403,4799,4/14/2020,107,4062
,Turkey,69392,1518,5674,4/15/2020,115,4281
,Turkey,74193,1643,7089,4/16/2020,125,4801
,Turkey,78546,1769,8631,4/17/2020,126,4353
,Turkey,82329,1890,10453,4/18/2020,121,3783
,Turkey,86306,2017,11976,4/19/2020,127,3977
,Turkey,90980,2140,13430,4/20/2020,123,4674
,Turkey,95591,2259,14918,4/21/2020,119,4611
,Turkey,98674,2376,16477,4/22/2020,117,3083
,Turkey,101790,2491,18491,4/23/2020,115,3116
,Turkey,104912,2600,21737,4/24/2020,109,3122
,Turkey,107773,2706,25582,4/25/2020,106,2861
,Turkey,110130,2805,29140,4/26/2020,99,2357
,Turkey,112261,2900,33791,4/27/2020,95,2131
,Turkey,114653,2992,38809,4/28/2020,92,2392
,Turkey,117589,3018,44022,4/29/2020,26,2936
,Turkey,120204,3174,48886,4/30/2020,156,2615
,Turkey,122392,3258,53808,5/1/2020,84,2188
,Turkey,124375,3336,58259,5/2/2020,78,1983
,Turkey,126045,3397,63151,5/3/2020,61,1670
,Turkey,127659,3461,68166,5/4/2020,64,1614
,Turkey,129491,3520,73285,5/5/2020,59,1832
,Turkey,131744,3584,78202,5/6/2020,64,2253
,Turkey,133721,3641,82984,5/7/2020,57,1977
,Turkey,135569,3689,86396,5/8/2020,48,1848
,Turkey,137115,3739,89480,5/9/2020,50,1546
,Turkey,138657,3786,92691,5/10/2020,47,1542
,Turkey,139771,3841,95780,5/11/2020,55,1114
,Turkey,141475,3894,98889,5/12/2020,53,1704
,Turkey,143114,3952,101715,5/13/2020,58,1639
,Turkey,144749,4007,104030,5/14/2020,55,1635
,Turkey,146457,4055,106133,5/15/2020,48,1708
,Turkey,148067,4096,108137,5/16/2020,41,1610
,Turkey,149435,4140,109962,5/17/2020,44,1368
,Turkey,150593,4171,111577,5/18/2020,31,1158
,Turkey,151615,4199,112895,5/19/2020,28,1022
,Turkey,152587,4222,113987,5/20/2020,23,972
,Turkey,153548,4249,114990,5/21/2020,27,961
,Turkey,154500,4276,116111,5/22/2020,27,952
,Turkey,155686,4308,117602,5/23/2020,32,1186
,Turkey,156827,4340,118694,5/24/2020,32,1141
,Turkey,157814,4369,120015,5/25/2020,29,987
,Turkey,158762,4397,121507,5/26/2020,28,948
,Turkey,159797,4431,122793,5/27/2020,34,1035
,Turkey,160979,4461,124369,5/28/2020,30,1182
,Turkey,162120,4489,125963,5/29/2020,28,1141
,Turkey,163103,4515,126984,5/30/2020,26,983
,Turkey,163942,4540,127973,5/31/2020,25,839
,Turkey,164769,4563,128947,6/1/2020,23,827
,Turkey,165555,4585,129921,6/2/2020,22,786
,Turkey,166422,4609,130852,6/3/2020,24,867
,Turkey,167410,4630,131778,6/4/2020,21,988
,Turkey,168340,4648,133400,6/5/2020,18,930
,Turkey,169218,4669,135322,6/6/2020,21,878
,Turkey,170132,4692,137969,6/7/2020,23,914
,Turkey,171121,4711,141380,6/8/2020,19,989
,Turkey,172114,4729,144598,6/9/2020,18,993
,Turkey,173036,4746,146839,6/10/2020,17,922
,Turkey,174023,4763,147860,6/11/2020,17,987
,Turkey,175218,4778,149102,6/12/2020,15,1195
,Turkey,176677,4792,150087,6/13/2020,14,1459
,Turkey,178239,4807,151417,6/14/2020,15,1562
,Turkey,179831,4825,152364,6/15/2020,18,1592
,Turkey,181298,4842,153379,6/16/2020,17,1467
,Turkey,182727,4861,154640,6/17/2020,19,1429
,Turkey,184031,4882,156022,6/18/2020,21,1304
,Turkey,185245,4905,157516,6/19/2020,23,1214
,Turkey,186493,4927,158828,6/20/2020,22,1248
,Turkey,187685,4950,160240,6/21/2020,23,1192
,Turkey,188897,4974,161533,6/22/2020,24,1212
,Turkey,190165,5001,162848,6/23/2020,27,1268
,Turkey,191657,5025,164234,6/24/2020,24,1492
,Turkey,193115,5046,165706,6/25/2020,21,1458
,Turkey,194511,5065,167198,6/26/2020,19,1396
,Turkey,195883,5082,169182,6/27/2020,17,1372
,Turkey,197239,5097,170595,6/28/2020,15,1356
,Turkey,198613,5115,171809,6/29/2020,18,1374
,Turkey,199906,5131,173111,6/30/2020,16,1293
,Turkey,201098,5150,175422,7/1/2020,19,1192
,Turkey,202284,5167,176965,7/2/2020,17,1186
,Turkey,203456,5186,178278,7/3/2020,19,1172
,Turkey,204610,5206,179492,7/4/2020,20,1154
,Turkey,205758,5225,180680,7/5/2020,19,1148
,Turkey,206844,5241,182995,7/6/2020,16,1086
,Turkey,207897,5260,185292,7/7/2020,19,1053
