Tarih,TP KKHARTUT KT1,TP KKHARTUT KT1-1,TP KKHARTUT KT8,TP KKHARTUT KT8-1,TP AKONUTSAT1 TOPLAM,TP AKONUTSAT1 TOPLAM-1,TP KREDI L002,TP KREDI L002-1,TP TCBF01 TURKIYE,TP TCBF01 TURKIYE-1,TP TIG04,TP TIG04-1,TP TIG07,TP TIG07-1
2019-12,76549073.00,-21.08,4171239.00,-35.85,202074.00,46.04,2482215457.00,2.56,2930.50,1.55,4394.00,2.00,13.70,3.01
2019-11,96996661.00,35.09,6502121.00,74.09,138372.00,-3.11,2420253636.00,1.10,2885.70,1.31,4308.00,-2.00,13.30,-0.75
2019-10,71801562.00,-6.17,3734817.00,-1.29,142810.00,-2.79,2393983635.00,1.05,2848.40,0.84,4396.00,-3.72,13.40,-2.90
2019-09,76522711.00,-18.77,3783735.00,-12.70,146903.00,32.90,2369143227.00,-0.23,2824.80,0.77,4566.00,-1.81,13.80,-1.43
2019-08,94209616.00,22.04,4334260.00,21.53,110538.00,8.12,2374492662.00,0.78,2803.30,0.49,4650.00,1.17,14.00,0.72
2019-07,77195873.00,4.87,3566310.00,0.73,102236.00,66.63,2356211727.00,-0.92,2789.60,1.37,4596.00,8.06,13.90,6.92
2019-06,73608078.00,-18.13,3540469.00,-15.00,61355.00,-33.26,2378147055.00,-0.46,2752.00,1.04,4253.00,2.31,13.00,1.56
2019-05,89908769.00,32.23,4165221.00,32.21,91937.00,-4.30,2389091791.00,0.08,2723.80,0.66,4157.00,-1.07,12.80,-1.54
2019-04,67995522.00,-22.08,3150373.00,-27.28,96071.00,-8.54,2387075308.00,1.77,2706.00,0.30,4202.00,-7.53,13.00,-7.80
2019-03,87259065.00,31.37,4332319.00,38.36,105046.00,33.90,2345609507.00,4.19,2697.90,-0.27,4544.00,-3.93,14.10,-4.08
2019-02,66420086.00,8.86,3131223.00,5.86,78450.00,7.56,2251374548.00,1.10,2705.10,-1.86,4730.00,1.33,14.70,0.00
2019-01,61015253.00,-6.58,2957887.00,-13.29,72937.00,-46.70,2226827665.00,-0.89,2756.40,-3.23,4668.00,8.51,14.70,8.89
