Tarih,TP TUUFEY01,TP KTF10,TP KTF12,TP FG TS01
2012-01,,19.97,14.50,201.98
2012-02,,19.42,13.93,203.12
2012-03,,18.85,13.31,203.96
2012-04,,18.54,13.06,207.05
2012-05,,18.35,12.75,206.61
2012-06,,18.10,12.60,204.76
2012-07,,17.87,12.42,204.29
2012-08,,17.48,12.14,205.43
2012-09,,16.65,12.04,207.55
2012-10,,16.31,11.33,211.62
2012-11,,15.73,10.77,212.42
2012-12,,14.25,10.09,213.23
2013-01,,14.06,9.78,216.74
2013-02,,13.76,9.58,217.39
2013-03,,13.52,9.31,218.83
2013-04,,13.45,9.06,219.75
2013-05,,12.67,8.77,220.07
2013-06,,11.82,8.30,221.75
2013-07,,12.47,8.91,222.44
2013-08,,13.12,9.78,222.21
2013-09,,13.94,10.73,223.91
2013-10,,13.81,10.93,227.94
2013-11,,13.77,10.62,227.96
2013-12,,13.57,10.61,229.01
2014-01,,15.03,11.30,233.54
2014-02,,16.83,13.03,234.54
2014-03,,17.15,13.51,237.18
2014-04,,16.87,13.52,240.37
2014-05,,16.68,12.94,241.32
2014-06,,15.96,12.29,242.07
2014-07,,15.32,11.46,243.17
2014-08,,15.08,11.06,243.40
2014-09,,14.86,10.91,243.74
2014-10,,14.91,10.75,248.37
2014-11,,14.68,10.91,248.82
2014-12,,14.39,11.01,247.72
2015-01,,14.86,11.01,250.45
2015-02,,14.89,10.80,252.24
2015-03,,14.68,10.82,255.23
2015-04,,14.84,10.97,259.39
2015-05,,15.43,11.49,260.85
2015-06,,15.68,11.87,259.51
2015-07,,15.70,12.28,259.74
2015-08,,16.05,12.59,260.78
2015-09,,16.91,13.57,263.11
2015-10,,17.70,14.30,267.20
2015-11,,17.51,14.13,268.98
2015-12,,17.33,14.01,269.54
2016-01,106.97,17.61,14.27,274.44
2016-02,106.03,17.94,14.45,274.38
2016-03,102.68,18.03,14.45,274.27
2016-04,99.80,17.85,14.33,276.42
2016-05,100.14,17.52,13.96,278.02
2016-06,102.51,17.33,13.84,279.33
2016-07,103.53,17.38,13.67,282.58
2016-08,101.96,17.52,12.86,281.76
2016-09,103.64,17.34,12.09,282.27
2016-10,102.30,16.72,12.12,286.33
2016-11,101.82,16.09,11.69,287.81
2016-12,105.11,16.20,11.42,292.54
2017-01,113.42,16.36,11.45,299.74
2017-02,115.14,16.72,11.38,302.17
2017-03,117.12,16.62,11.06,305.24
2017-04,116.71,16.88,11.28,309.23
2017-05,113.83,17.24,11.55,310.61
2017-06,113.40,17.35,11.72,309.78
2017-07,112.50,17.54,12.02,310.24
2017-08,111.08,17.91,12.49,311.85
2017-09,114.40,18.16,12.87,313.88
2017-10,115.47,18.54,13.05,320.40
2017-11,120.10,18.79,13.12,325.18
2017-12,122.42,19.36,13.52,327.41
2018-01,124.41,20.02,14.14,330.75
2018-02,125.48,20.18,14.68,333.17
2018-03,126.13,19.84,14.79,336.48
2018-04,124.17,19.98,14.83,342.78
2018-05,123.48,20.19,13.88,348.34
2018-06,123.57,23.11,13.10,357.44
2018-07,125.69,24.96,16.86,359.41
2018-08,128.09,28.82,18.99,367.66
2018-09,132.80,36.41,25.18,390.84
2018-10,133.98,38.72,28.95,401.27
2018-11,137.36,36.10,28.63,395.48
2018-12,141.87,33.59,27.82,393.88
2019-01,153.64,30.81,26.22,398.07
2019-02,157.84,26.42,22.98,398.71
2019-03,160.60,23.51,18.16,402.81
2019-04,162.35,25.94,17.70,409.63
2019-05,160.80,29.02,20.45,413.52
2019-06,156.02,29.18,21.81,413.63
2019-07,154.38,27.41,21.06,419.24
2019-08,153.30,23.09,14.15,422.84
2019-09,155.73,20.17,12.98,427.04
2019-10,158.38,18.34,13.12,435.59
2019-11,161.16,16.99,12.96,437.25
2019-12,164.67,15.98,12.69,440.50
,,,,
,,,,
Seri Açıklamaları,,,,
TP.TUUFEY01,"Tarım, Ormancılık ve Balıkçılık-Düzey",Gözlem Değeri: Orijinal Gözlem,,
TP.KTF10,"İhtiyaç (TL Üzerinden Açılan)(Akım Veri,%)-Düzey",Gözlem Değeri: Orijinal Gözlem,,
TP.KTF12,"Konut (TL Üzerinden Açılan)(Akım Veri,%)-Düzey",Gözlem Değeri: Orijinal Gözlem,,
TP.FG.TS01,TÜRKIYE-Düzey,Gözlem Değeri: Orijinal Gözlem,,
,,,,
Notlar,,,,
TP.FG.TS01,Uygulama Değişiklik Linki,http://www.tuik.gov.tr/PreTablo.do?alt_id=114,,
,Veri Kaynağı,TÜİK,,
,Veri Yayınlama Takvim Linki,http://www.tuik.gov.tr/takvim/tkvim.zul#tb1,,
,Metaveri Linki,http://www.tuik.gov.tr/PreTablo.do?alt_id=114,,
,Revizyon Politika Linki,http://www.tuik.gov.tr/PreTablo.do?alt_id=114,,
,Etiketler,"Tüketici, Fiyat, Endeksi, TÜFE",,
TP.KTF10,Veri Kaynağı,TCMB,,
,Veri Yayınlama Takvim Linki,http://www3.tcmb.gov.tr/veriyaytakvim/takvim.php,,
,Etiketler,"kredi, faiz",,
,Dipnotlar,Bankaların geriye dönük düzeltmeleri nedeniyle zaman serilerinde güncelleme yapılabilmektedir.,,
TP.KTF12,Veri Kaynağı,TCMB,,
,Veri Yayınlama Takvim Linki,http://www3.tcmb.gov.tr/veriyaytakvim/takvim.php,,
,Etiketler,"kredi, faiz",,
,Dipnotlar,Bankaların geriye dönük düzeltmeleri nedeniyle zaman serilerinde güncelleme yapılabilmektedir.,,
TP.TUUFEY01,Uygulama Değişiklik Linki,http://www.tuik.gov.tr/PreTablo.do?alt_id=111,,
,Veri Kaynağı,TÜİK,,
,Veri Yayınlama Takvim Linki,http://www.tuik.gov.tr/takvim/tkvim.zul#tb1,,
,Metaveri Linki,http://www.tuik.gov.tr/PreTablo.do?alt_id=111,,
,Revizyon Politika Linki,http://www.tuik.gov.tr/PreTablo.do?alt_id=111,,
,Etiketler,"Tarım, Ürünleri, Üretici, Fiyat, Endeksi, ÜFE",,
