Tarih,TP DK USD A YTL,TP DK EUR A YTL,TP TCBF01 TURKIYE
2012-01,1.84,2.37,"1,141.80"
2012-02,1.75,2.31,"1,164.00"
2012-03,1.78,2.35,"1,172.80"
2012-04,1.78,2.34,"1,189.40"
2012-05,1.80,2.31,"1,198.60"
2012-06,1.82,2.27,"1,211.50"
2012-07,1.80,2.22,"1,217.30"
2012-08,1.79,2.21,"1,230.50"
2012-09,1.80,2.31,"1,236.40"
2012-10,1.79,2.33,"1,245.30"
2012-11,1.79,2.29,"1,252.70"
2012-12,1.78,2.33,"1,263.70"
2013-01,1.76,2.34,"1,312.60"
2013-02,1.77,2.37,"1,334.20"
2013-03,1.81,2.34,"1,353.10"
2013-04,1.80,2.34,"1,369.60"
2013-05,1.82,2.37,"1,386.20"
2013-06,1.89,2.50,"1,407.50"
2013-07,1.93,2.52,"1,425.50"
2013-08,1.95,2.60,"1,437.30"
2013-09,2.02,2.69,"1,448.70"
2013-10,1.99,2.71,"1,462.80"
2013-11,2.02,2.73,"1,491.40"
2013-12,2.06,2.82,"1,496.60"
2014-01,2.22,3.02,"1,510.30"
2014-02,2.21,3.02,"1,524.50"
2014-03,2.22,3.07,"1,541.30"
2014-04,2.13,2.94,"1,575.20"
2014-05,2.09,2.87,"1,597.80"
2014-06,2.12,2.88,"1,628.40"
2014-07,2.12,2.88,"1,659.90"
2014-08,2.16,2.88,"1,683.30"
2014-09,2.20,2.85,"1,700.70"
2014-10,2.26,2.86,"1,727.10"
2014-11,2.23,2.79,"1,751.50"
2014-12,2.29,2.82,"1,771.60"
2015-01,2.33,2.72,"1,806.40"
2015-02,2.46,2.79,"1,844.70"
2015-03,2.58,2.80,"1,882.90"
2015-04,2.65,2.85,"1,916.80"
2015-05,2.65,2.96,"1,952.90"
2015-06,2.70,3.03,"1,982.90"
2015-07,2.69,2.97,"2,016.90"
2015-08,2.85,3.17,"2,028.20"
2015-09,3.00,3.37,"2,066.10"
2015-10,2.93,3.30,"2,094.70"
2015-11,2.87,3.09,"2,129.20"
2015-12,2.92,3.17,"2,140.30"
2016-01,3.01,3.27,"2,149.00"
2016-02,2.94,3.26,"2,161.90"
2016-03,2.89,3.21,"2,189.30"
2016-04,2.83,3.21,"2,220.20"
2016-05,2.93,3.31,"2,259.20"
2016-06,2.92,3.28,"2,278.30"
2016-07,2.96,3.27,"2,331.70"
2016-08,2.96,3.32,"2,359.50"
2016-09,2.96,3.32,"2,376.70"
2016-10,3.07,3.39,"2,376.60"
2016-11,3.27,3.53,"2,391.20"
2016-12,3.49,3.68,"2,411.00"
2017-01,3.73,3.97,"2,384.60"
2017-02,3.67,3.91,"2,406.30"
2017-03,3.67,3.92,"2,439.50"
2017-04,3.65,3.91,"2,457.50"
2017-05,3.56,3.93,"2,487.90"
2017-06,3.52,3.95,"2,504.10"
2017-07,3.56,4.09,"2,520.30"
2017-08,3.51,4.14,"2,537.80"
2017-09,3.47,4.14,"2,544.90"
2017-10,3.66,4.31,"2,571.90"
2017-11,3.88,4.55,"2,573.40"
2017-12,3.85,4.55,"2,598.60"
2018-01,3.77,4.59,"2,614.50"
2018-02,3.78,4.67,"2,642.60"
2018-03,3.88,4.79,"2,645.80"
2018-04,4.05,4.98,"2,684.60"
2018-05,4.41,5.22,"2,718.50"
2018-06,4.63,5.41,"2,735.30"
2018-07,4.75,5.55,"2,747.70"
2018-08,5.73,6.61,"2,765.80"
2018-09,6.37,7.42,"2,803.60"
2018-10,5.86,6.74,"2,861.60"
2018-11,5.37,6.11,"2,852.80"
2018-12,5.31,6.04,"2,848.30"
2019-01,5.37,6.13,"2,756.40"
2019-02,5.26,5.98,"2,705.10"
2019-03,5.44,6.16,"2,697.90"
2019-04,5.74,6.45,"2,706.00"
2019-05,6.05,6.77,"2,723.80"
2019-06,5.81,6.56,"2,752.00"
2019-07,5.67,6.37,"2,789.60"
2019-08,5.62,6.26,"2,803.30"
2019-09,5.71,6.29,"2,824.80"
2019-10,5.78,6.39,"2,848.40"
2019-11,5.73,6.34,"2,885.70"
2019-12,5.84,6.48,"2,930.50"
,,,
,,,
Seri Açıklamaları,,,
TP.DK.USD.A.YTL,(USD) ABD Doları (Döviz Alış)-Düzey,Gözlem Değeri: Orijinal Gözlem,
TP.DK.EUR.A.YTL,(EUR) Euro (Döviz Alış)-Düzey,Gözlem Değeri: Orijinal Gözlem,
TP.TCBF01.TURKIYE,Türkiye Konut Birim Fiyatları - TL/m2-Düzey,Gözlem Değeri: Bitiş,
,,,
Notlar,,,
TP.DK.EUR.A.YTL,Veri Kaynağı,TCMB,
,Etiketler,"Kurlar, Döviz, Kurları, Günlük",
TP.DK.USD.A.YTL,Veri Kaynağı,TCMB,
,Etiketler,"Kurlar, Döviz, Kurları, Günlük",
TP.TCBF01.TURKIYE,Veri Kaynağı,TCMB,
,Veri Yayınlama Takvim Linki,http://www3.tcmb.gov.tr/veriyaytakvim/takvim.php,
,Etiketler,"Konut, Konut, Fiyatları, KFE, HKFE, Hedonik, Konut, Fiyat, Endeksi, Konut, Fiyat, Endeksi",
,Dipnotlar,2019 yılı Şubat ayı raporundan itibaren yeni ağırlıklandırma yaklaşımı ile tüm seri revize edilmiştir.,
