Date,TP AKONUTSAT1 TOPLAM,TP TCBF01 TURKIYE,TP TCBF02 ISTANBUL,TP TCBF03 ANKARA,TP TCBF04 IZMIR
2012-01,,"1,141.80","1,745.50","1,045.40","1,207.50"
2012-02,,"1,164.00","1,798.50","1,058.20","1,236.40"
2012-03,,"1,172.80","1,805.80","1,074.30","1,236.40"
2012-04,,"1,189.40","1,839.20","1,091.90","1,246.80"
2012-05,,"1,198.60","1,842.60","1,097.40","1,271.50"
2012-06,,"1,211.50","1,854.20","1,101.10","1,291.30"
2012-07,,"1,217.30","1,853.20","1,106.00","1,303.50"
2012-08,,"1,230.50","1,887.40","1,109.80","1,297.20"
2012-09,,"1,236.40","1,909.20","1,118.00","1,306.50"
2012-10,,"1,245.30","1,930.90","1,122.10","1,315.50"
2012-11,,"1,252.70","1,942.70","1,130.10","1,324.80"
2012-12,,"1,263.70","1,955.40","1,137.20","1,331.10"
2013-01,"87,444.00","1,312.60","2,063.80","1,143.10","1,327.10"
2013-02,"88,519.00","1,334.20","2,113.70","1,155.10","1,345.80"
2013-03,"97,956.00","1,353.10","2,157.50","1,172.10","1,363.60"
2013-04,"95,381.00","1,369.60","2,186.30","1,189.70","1,383.80"
2013-05,"103,261.00","1,386.20","2,217.80","1,201.30","1,397.90"
2013-06,"96,424.00","1,407.50","2,262.90","1,213.10","1,415.00"
2013-07,"106,636.00","1,425.50","2,299.80","1,221.10","1,427.30"
2013-08,"84,480.00","1,437.30","2,319.50","1,226.40","1,446.90"
2013-09,"102,280.00","1,448.70","2,346.00","1,234.00","1,457.50"
2013-10,"76,344.00","1,462.80","2,393.50","1,242.10","1,465.30"
2013-11,"102,681.00","1,491.40","2,474.10","1,258.90","1,485.20"
2013-12,"115,784.00","1,496.60","2,481.10","1,263.20","1,498.10"
2014-01,"87,639.00","1,510.30","2,464.10","1,266.70","1,555.20"
2014-02,"82,597.00","1,524.50","2,488.80","1,281.90","1,576.60"
2014-03,"87,617.00","1,541.30","2,519.10","1,301.20","1,600.30"
2014-04,"83,610.00","1,575.20","2,600.40","1,308.50","1,613.10"
